Title,Source,Link
Puan Minta Evaluasi Usai Bantuan Korban Bencana Pecah Dijatuhkan dari Heli,Detik.com,https://news.detik.com/berita/d-8242072/puan-minta-evaluasi-usai-bantuan-korban-bencana-pecah-dijatuhkan-dari-heli
"Pemerintah Belum Tetapkan Bencana Nasional, Puan Minta Fokus Kirim Bantuan",Detik.com,https://news.detik.com/berita/d-8242065/pemerintah-belum-tetapkan-bencana-nasional-puan-minta-fokus-kirim-bantuan
Dampak Siklon Ditwah Lumpuhkan Wilayah Sri Lanka,Detik.com,https://news.detik.com/foto-news/d-8241177/dampak-siklon-ditwah-lumpuhkan-wilayah-sri-lanka
281 Tambang Emas Ilegal di TN Gunung Halimun Salak Disegel Petugas,Detik.com,https://news.detik.com/berita/d-8242063/281-tambang-emas-ilegal-di-tn-gunung-halimun-salak-disegel-petugas
"13 Stasiun Pendaftaran Motis Nataru 2025/2026, Cek Lokasinya",Detik.com,https://news.detik.com/berita/d-8241875/13-stasiun-pendaftaran-motis-nataru-2025-2026-cek-lokasinya
Polisi Tak Temukan Unsur Pidana Terkait Bocah Tewas di Selokan Cilegon,Detik.com,https://news.detik.com/berita/d-8242036/polisi-tak-temukan-unsur-pidana-terkait-bocah-tewas-di-selokan-cilegon
WamenPANRB Dorong Penguatan Ekosistem Pembelajaran ASN di Era Serba Cepat,Detik.com,https://news.detik.com/berita/d-8242014/wamenpanrb-dorong-penguatan-ekosistem-pembelajaran-asn-di-era-serba-cepat
"Video Kapolri Selidiki Kayu Gelondongan: Apabila Ada Pelanggaran, Kita Proses",Detik.com,https://20.detik.com/detikupdate/20251203-251203205/video-kapolri-selidiki-kayu-gelondongan-apabila-ada-pelanggaran-kita-proses
Bantuan Sosial Terus Berdatangan ke Posko Bencana Halim,Detik.com,https://news.detik.com/foto-news/d-8241817/bantuan-sosial-terus-berdatangan-ke-posko-bencana-halim
"Video Mendagri Minta Pemda Punya Anggaran Lebih Bantu Aceh, Sumut dan Sumbar",Detik.com,https://20.detik.com/detikupdate/20251203-251203208/video-mendagri-minta-pemda-punya-anggaran-lebih-bantu-aceh-sumut-dan-sumbar
