Title,Source,Link
Awas! Amran Akan Cabut Izin Usaha Pedagang yang Jual Beras di Atas HET,CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020182048-4-677643/awas-amran-akan-cabut-izin-usaha-pedagang-yang-jual-beras-di-atas-het
Detik-Detik Sultan Brunei Hassanal Bolkiah Terjatuh di Atas Panggung,CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020150248-7-677543/detik-detik-sultan-brunei-hassanal-bolkiah-terjatuh-di-atas-panggung
"Israel Langgar Gencatan Senjata Gaza, Trump Beri Respons Tak Terduga",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020131726-4-677472/israel-langgar-gencatan-senjata-gaza-trump-beri-respons-tak-terduga
Gunung Berapi Bangkit usai Tertidur Selama 700.000 Tahun,CNBC Indonesia,https://www.cnbcindonesia.com/lifestyle/20251020093411-33-677357/gunung-berapi-bangkit-usai-tertidur-selama-700000-tahun
"Tiba-tiba Muncul Gunung Baru di Jawa, Ahli Geologi Beri Penjelasan",CNBC Indonesia,https://www.cnbcindonesia.com/tech/20251020130121-37-677460/tiba-tiba-muncul-gunung-baru-di-jawa-ahli-geologi-beri-penjelasan
"Potret Pesawat Emirates Boeing 747 Jatuh ke Laut, Hidung & Ekor Pisah",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020084710-7-677329/potret-pesawat-emirates-boeing-747-jatuh-ke-laut-hidung-ekor-pisah
"Warga RI Buruan Aktifkan Akun, Biar Bisa Lapor SPT 2025 di Coretax",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020181324-4-677651/warga-ri-buruan-aktifkan-akun-biar-bisa-lapor-spt-2025-di-coretax
"Setahun Prabowo-Gibran, Kawasan Industri Baru RI Tambah 9",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020181359-4-677641/setahun-prabowo-gibran-kawasan-industri-baru-ri-tambah-9
"Air Hujan Jakarta Mengandung Mikroplastik, Ahli Jelaskan Penyebabnya",CNBC Indonesia,https://www.cnbcindonesia.com/lifestyle/20251020160238-33-677581/air-hujan-jakarta-mengandung-mikroplastik-ahli-jelaskan-penyebabnya
"TNI Siap Kirim 20.000 Personel ke Gaza, Prabowo: Kita Tak Boleh Lugu",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020175407-4-677634/tni-siap-kirim-20000-personel-ke-gaza-prabowo-kita-tak-boleh-lugu
"Nomor XL Hangus Bisa Aktif Lagi, Caranya Mudah",CNBC Indonesia,https://www.cnbcindonesia.com/tech/20251020153018-37-677562/nomor-xl-hangus-bisa-aktif-lagi-caranya-mudah
